SENDER IBAN, RF CODE, RECEIVER IBAN, AMOUNT PER ISSUE, ISSUE FREQUENCY (1 ISSUE PER # MONTHS), DAY OF ISSUE, TOTAL OWED AMOUNT, REMAINING NUMBER OF ISSUES
GR200202503131719401,RF10203045,GR100202503111546001,€45.5,,10,€45.5,1
GR200202503131719402,RF10203044,GR100202503111546006,€42.11,,1,€84.22,1
GR200202503131719402,RF10203043,GR100202503111546005,€35.99,,1,€71.98,1
GR200202503131719402,RF10203042,GR100202503111546003,€52.0,,1,€104.0,1
GR200202503131719402,RF10203041,GR100202503111546002,€37.45,,1,€74.9,1
GR200202503131719402,RF10203040,GR100202503111546001,€29.46,,1,€58.92,1
GR200202503131719401,RF10203051,GR100202503111546003,€34.5,1,2,€0.0,5
GR200202503131719404,RF10203050,GR100202503111546005,€37.8,,1,€37.8,1
GR200202503131719404,RF10203049,GR100202503111546006,€102.0,,1,€102.0,1
GR200202503131719401,RF10203048,GR100202503111546005,€35.0,,10,€35.0,1
GR200202503131719401,RF10203047,GR100202503111546003,€35.6,,10,€35.6,1
GR200202503131719401,RF10203046,GR100202503111546002,€45.5,,10,€45.5,1
