SENDER IBAN, RF CODE, STATUS, BILL ID, RECEIVER IBAN, AMOUNT, DATE PAID, TIME PAID, DATE ISSUED, DUE DATE
GR200202503131719401,RF10203045,PENDING,20250415001,GR100202503111546001,45.5,,,2026-02-10,2026-03-02
GR200202503131719402,RF10203044,PENDING,20250601005,GR100202503111546006,42.11,,,2026-03-01,2026-04-04
GR200202503131719402,RF10203044,PENDING,20250501005,GR100202503111546006,42.11,,,2026-02-01,2026-02-21
GR200202503131719402,RF10203043,PENDING,20250601004,GR100202503111546005,35.99,,,2026-03-01,2026-04-04
GR200202503131719402,RF10203043,PENDING,20250501004,GR100202503111546005,35.99,,,2026-02-01,2026-02-21
GR200202503131719402,RF10203042,PENDING,20250601003,GR100202503111546003,52.0,,,2026-03-01,2026-04-04
GR200202503131719402,RF10203042,PENDING,20250501003,GR100202503111546003,52.0,,,2026-02-01,2026-02-21
GR200202503131719402,RF10203041,PENDING,20250601002,GR100202503111546002,37.45,,,2026-03-01,2026-04-04
GR200202503131719402,RF10203041,PENDING,20250501002,GR100202503111546002,37.45,,,2026-02-01,2026-02-21
GR200202503131719402,RF10203040,PENDING,20250601001,GR100202503111546001,29.46,,,2026-03-01,2026-04-04
GR200202503131719402,RF10203040,PENDING,20250501001,GR100202503111546001,29.46,,,2026-02-01,2026-02-21
GR200202503131719404,RF10203050,PENDING,20250425002,GR100202503111546005,37.8,,,2026-03-01,2026-03-21
GR200202503131719404,RF10203049,PENDING,20250425001,GR100202503111546006,102.0,,,2026-03-01,2026-03-21
GR200202503131719401,RF10203048,PENDING,20250415004,GR100202503111546005,35.0,,,2026-02-10,2026-03-02
GR200202503131719401,RF10203047,PENDING,20250415003,GR100202503111546003,35.6,,,2026-02-10,2026-03-02
GR200202503131719401,RF10203046,PENDING,20250415002,GR100202503111546002,45.5,,,2026-02-10,2026-03-02
