USER TYPE, FULL NAME, USERNAME, PASSWORD, AFM
ADMIN,Bank Administrator,admin,IAMADMIN,000000000
INDIVIDUAL,ΝΕΚΤΑΡΙΟΣ ΓΙΟΛΔΑΣΗΣ,ngioldasis,IAMGIOLDASIS,067688302
INDIVIDUAL,ΝΙΚΟΣ ΠΑΠΠΑΣ,pappas,IAMPAPPAS,067688303
INDIVIDUAL,ΓΙΩΡΓΟΣ ΧΑΛΚΙΑΔΑΚΗΣ,gchalkiadakis,IAMCHALKIADAKIS,067688304
INDIVIDUAL,ΜΑΡΙΑ ΤΕΡΑΝΟΒΑ,mteranova,IAMTERANOVA,067688305
INDIVIDUAL,ΣΟΦΙΑ ΚΑΡΑΚΩΣΤΑ,skarakosta,IAMKARAKOSTA,067688306
INDIVIDUAL,ΕΛΕΝΗ ΔΗΜΗΤΡΙΟΥ,edimitriou,IAMDIMITRIOU,067688307
BUSINESS,VODAFONE GR,vodafone,IAMVODAFONE,090800700
BUSINESS,COSMOTE,cosmote,IAMCOSMOTE,090800800
BUSINESS,DEI,dei,IAMDEI,090800900
BUSINESS,NOVA,nova,IAMNOVA,090800600
